f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,clase
1.07016,1.02665,-0.58294,-1.49146,-0.94006,-1.30052,-1.24142,1.42937,1.38338,1.33981,2.17072,-0.05649,-1.22554,0.11768,0.1655,0.89017,-0.12779,-1.26783,0.06815,-0.30702,-0.88704,-0.27407,-0.34611,-0.23869,-0.1004,sn
0.8657,1.00756,-0.04263,-1.0641,-0.81237,-1.01269,-0.36678,0.91285,1.02143,0.91166,0.04996,-0.72479,0.15595,-0.54188,-0.78451,-0.51723,-0.70993,0.15542,-0.56857,-0.79091,-1.53079,-0.75422,0.37938,-0.55003,-0.96151,sn
0.47093,0.832,-0.08101,-0.90719,-0.73869,-0.91312,-0.43273,1.03059,0.81253,0.92884,0.71333,-0.81266,0.09852,-0.59641,-0.92475,0.45643,-0.84283,0.12016,-0.59073,-1.34067,-0.67277,-0.83493,0.35846,-0.55345,-1.3934,cn
0.69341,0.44123,0.13036,-0.17591,-0.27296,-0.02061,-0.23128,0.06272,0.07576,0.02032,0.69161,0.43899,-0.29586,0.44854,0.86837,0.08375,0.51864,-1.43403,0.70558,0.74727,-0.94642,0.61443,-1.53314,0.88093,0.75074,sn
-0.03657,-0.06938,1.81707,1.01172,-0.13367,0.24033,0.24197,-0.5245,-0.59592,-0.46904,0.9103,3.09945,-3.2866,3.60816,1.80325,-0.52542,1.99604,-0.65679,1.92946,1.74864,-1.28661,2.14272,-1.41468,2.0733,1.94842,sn
-0.25371,-0.43617,2.10584,1.55967,0.13045,0.46557,0.57629,-0.95037,-1.08807,-0.80164,0.56467,2.36881,-0.89908,1.94601,1.84353,-0.78039,1.78538,-0.11308,1.27887,1.75923,-1.45368,1.98537,-0.65124,1.4066,1.96537,sn
0.69454,0.86219,-0.31726,-1.22938,-0.80718,-1.1127,-0.59999,1.27023,1.01279,1.13642,0.1601,-0.92489,-0.19041,-0.56253,-1.49677,-0.10499,-0.79984,-0.11035,-0.48381,-1.5051,-1.2812,-0.7843,0.17931,-0.47182,-1.45724,sn
-0.40685,-0.36252,1.65469,1.48635,0.13217,0.42397,0.21842,-1.03395,-1.08869,-0.56078,0.46573,1.67732,-0.81414,1.12074,1.76722,-0.8811,1.74384,-0.12937,1.27921,1.76164,-1.76367,1.51702,-0.16951,0.83004,1.79638,sn
0.9623,0.99405,-0.84117,-1.44123,-0.86914,-1.28934,-1.28925,1.4293,1.59083,1.26319,3.39267,-0.5909,-0.97852,-0.03506,-3.24131,1.96794,-0.13397,-1.02625,0.15025,-0.15814,0.39616,-0.41262,-0.45529,-0.1015,-0.66758,sn
0.36395,0.1178,0.94935,0.06798,-0.23163,-0.05043,0.2231,-0.07128,-0.52005,0.08386,0.75031,-0.17125,-0.0248,-0.26531,0.44971,-0.22007,0.21282,-0.76076,0.0379,0.73849,-1.08861,0.21118,-0.57618,0.0456,0.67935,sn
0.64245,0.78162,-0.50309,-1.10998,-0.78166,-1.07552,-0.89346,1.1835,1.19099,1.11653,0.83997,-0.37022,0.10429,-0.35292,-0.31291,0.34453,-0.72388,-0.03755,-0.48681,-0.97671,-0.5457,-0.70826,0.14056,-0.4124,-1.05732,cn
0.63972,0.7769,-0.15069,-1.27901,-0.80959,-1.09346,-0.68228,1.18029,1.18954,1.13851,1.08216,-0.9916,-0.0661,-0.63791,-1.65477,0.60111,-0.86089,0.02161,-0.5747,-1.74464,-0.30774,-0.84541,0.29593,-0.54331,-1.66151,sn
0.16257,0.42808,0.39704,-0.31539,-0.34868,-0.23804,-0.02512,0.32258,0.16302,0.28369,0.51032,0.0514,-0.28197,-0.03644,0.56096,-0.10503,-0.41497,-0.16466,-0.37779,0.07335,-1.22003,-0.45693,0.09301,-0.37213,-0.11504,cn
0.26077,0.42447,0.40371,-0.20382,-0.36541,-0.29979,0.12305,0.1155,0.13146,0.29696,0.6085,-0.50249,0.11795,-0.39547,-0.24136,0.17301,-0.57123,0.04458,-0.42462,-0.36889,-0.7722,-0.5773,0.22404,-0.40411,-0.45055,cn
0.68893,0.71944,-0.35317,-0.99615,-0.73244,-0.93015,-1.04994,1.19692,0.83245,1.04099,-0.30179,-0.86029,0.15327,-0.59728,-1.31259,-0.59148,-0.85936,0.1655,-0.60215,-1.59112,-1.73295,-0.82677,0.38425,-0.5588,-1.39955,sn
-0.02415,-0.04738,1.88489,0.91494,-0.1227,0.34078,0.82135,-0.57979,-0.86885,-0.51048,0.57367,1.94336,-0.8057,1.34532,1.79901,-0.93457,1.1098,0.19757,0.55303,1.51092,-1.61989,1.25875,-0.09395,0.60122,1.68042,sn
0.41547,0.65939,0.1221,-0.75545,-0.66832,-0.66725,-0.21484,0.81316,0.58334,0.76121,0.33602,-0.01643,0.22872,0.26294,-0.62221,0.0137,-0.16282,-0.12986,0.10194,-0.74999,-1.06832,-0.28826,-0.06775,-0.09413,-0.563,sn
0.66716,0.38052,0.3531,-0.29968,-0.34349,0.02476,0.55222,0.29446,-0.24387,0.031,0.55511,-0.33764,0.16634,-0.46073,0.29875,-0.35759,0.2578,-0.80786,0.0092,0.65789,-1.34609,0.25728,-0.54353,-0.01973,0.61845,sn
0.36474,0.53847,-0.18556,-0.40617,-0.38357,-0.3305,-0.60353,0.59522,0.56333,0.32532,-0.00276,-0.68097,0.11656,-0.58473,-0.38819,-0.22588,-0.67075,0.16067,-0.56105,-0.49605,-1.59616,-0.68454,0.37643,-0.52406,-0.65928,sn
0.12614,0.30399,0.57296,-0.09696,-0.27589,-0.00397,0.5461,0.06787,-0.09118,0.03638,0.47497,-0.6002,0.07854,-0.5539,-0.19553,-0.14078,-0.55442,0.06928,-0.50219,-0.12268,-1.29304,-0.57467,0.28335,-0.47257,-0.30382,sn
0.04194,0.25071,1.61174,0.32225,-0.22274,-0.02556,0.71484,-0.23007,-0.62101,-0.12467,0.92456,-0.16304,-0.00178,-0.40535,0.57671,-0.03392,-0.00706,0.03555,-0.31101,0.74372,-0.85279,-0.01918,0.22646,-0.29663,0.71442,sn
-0.12465,0.0733,1.91693,0.82365,-0.16804,0.0575,0.45124,-0.46417,-0.81056,-0.24983,0.86868,-0.02913,-0.03958,-0.34052,0.72864,-0.10808,0.21406,-0.0527,-0.18428,0.95884,-0.93802,0.1652,0.1005,-0.19406,0.90986,sn
0.35168,0.08657,1.24717,0.70995,-0.21982,0.0052,0.07618,-0.24221,-0.28964,-0.30115,0.96762,3.72149,-3.8473,4.16661,1.8732,-0.49972,2.73024,-1.53345,2.60904,1.93144,-1.43136,2.55852,-1.94428,2.33185,2.06932,cn
0.11596,0.27196,1.4223,0.26792,-0.27596,-0.07782,0.50851,-0.02498,-0.5401,-0.04956,0.93241,-0.33186,0.05366,-0.4787,0.35421,0.04262,-0.24111,0.10302,-0.42727,0.48919,-0.77205,-0.27301,0.31459,-0.416,0.38541,sn
-0.47002,-0.42341,2.55423,1.62775,-0.05862,0.06707,0.06081,-0.69801,-0.79621,-0.48481,0.62917,1.43837,-0.75663,0.82146,1.60939,-0.77225,1.10794,-0.08624,0.63294,1.49901,-1.42928,1.20401,-0.24312,0.64348,1.63863,sn
0.55238,0.61147,-0.23057,-0.40964,-0.43586,-0.37733,-0.60596,0.71757,0.41154,0.36152,-0.43954,-0.61741,0.03748,-0.5932,-0.12421,-0.61366,-0.65077,0.17445,-0.57232,-0.34225,-1.97433,-0.68246,0.38615,-0.54352,-0.56221,sn
0.01446,0.0443,1.3348,0.73143,-0.06107,0.04162,-0.37632,-0.31582,-0.68208,-0.18694,0.85255,0.48428,0.04826,-0.05853,1.12891,-0.29385,0.54906,-0.07891,0.03907,1.21256,-1.208,0.49264,-0.05978,0.00541,1.1965,cn
0.45681,0.20299,0.84336,0.47552,-0.3397,-0.216,-0.57612,0.0133,0.12853,-0.02129,1.2067,2.78779,-3.612,3.02485,1.74528,-0.04028,2.69514,-2.8587,2.7304,1.82265,-1.34043,1.8741,-1.87347,1.47108,1.76363,cn
0.80683,0.18867,0.46906,-0.38808,-0.48468,-0.26063,0.40501,0.21641,0.15318,0.30078,0.32775,0.0341,0.42953,-0.16665,0.56646,-0.66645,0.73583,-0.73259,0.33721,0.98926,-1.66777,0.40613,-0.35815,-0.0334,0.82209,sn
0.02785,0.26776,0.99843,0.36502,-0.27058,-0.24992,-0.10974,0.02642,-0.18309,0.07939,1.84145,0.15158,-0.95376,0.00495,0.62873,0.09791,0.06166,-0.31174,-0.16095,0.75745,-1.00904,-0.14344,0.01821,-0.273,0.48857,cn
-0.39513,-0.37422,2.00464,1.46204,0.06713,0.29564,-0.00476,-0.86749,-0.86122,-0.54629,0.57046,2.60756,-1.41595,2.03368,1.97145,-0.59085,2.45369,-0.71826,2.07048,1.88652,-1.75628,1.96149,-0.75215,1.30153,1.92443,sn
0.14446,-0.00433,1.30376,0.94092,-0.16775,-0.01539,-0.05442,-0.45329,-0.35745,-0.27456,1.27856,3.87373,-4.40165,4.49266,1.53904,-0.0776,3.44411,-2.46883,3.76718,1.99827,-1.07914,2.95631,-2.57671,2.92894,2.12948,cn
0.13928,-0.00511,0.96321,0.95249,-0.06974,0.03785,-0.45519,-0.39679,-0.41191,-0.28519,1.17914,2.71597,-2.63392,2.44526,1.68604,-0.23305,2.63821,-1.67218,2.55953,1.90448,-1.3443,2.13804,-1.54654,1.78054,1.95729,cn
0.51252,0.57805,-0.63132,-0.81094,-0.55726,-0.67076,-0.70314,1.06711,0.71956,0.772,0.19426,-0.56996,0.43302,-0.42063,-0.59626,-0.09893,-0.64063,0.32084,-0.48852,-0.86406,-1.24211,-0.67074,0.42445,-0.48525,-0.92954,sn
-0.40675,-0.39779,2.17564,1.61777,0.09871,0.1589,-0.24236,-0.70635,-0.91821,-0.57175,0.89887,1.67156,-0.96392,1.08757,1.61363,-0.31018,1.28775,-0.75894,0.85392,1.5467,-1.14268,1.37826,-0.91604,0.95046,1.66903,cn
0.07593,-0.22722,1.53245,1.16986,-0.09141,0.19308,0.10139,-0.60788,-0.68449,-0.4203,1.15785,2.25706,-1.42005,1.51532,1.6024,-0.28588,2.77547,-1.08429,2.46061,1.95331,-1.28081,2.13227,-1.06992,1.43555,1.94789,cn
0.74474,0.98043,-0.94852,-1.34926,-0.93055,-1.32827,-1.31214,1.3203,1.47508,1.46867,-0.32705,-0.91909,0.13582,-0.62471,-1.79289,-0.45388,-0.86205,0.16333,-0.60307,-1.66604,-1.63061,-0.87794,0.37807,-0.57104,-1.69227,cn
0.67881,0.67185,-0.58827,-1.08316,-0.70471,-0.87106,-0.84761,1.17997,0.88631,1.02871,0.1535,-0.74164,0.27648,-0.51269,-1.02455,-0.36848,-0.77772,0.18826,-0.56355,-1.29435,-1.42015,-0.72974,0.41157,-0.49975,-1.17691,sn
0.1971,0.0215,1.2097,0.78101,-0.13684,0.08607,0.12529,-0.47629,-0.54675,-0.26462,1.46698,2.49354,-2.25083,2.10868,1.20316,-0.04804,2.61332,-0.7345,2.46719,1.87584,-0.95734,2.06691,-0.95141,1.60361,1.95566,sn
